# Заполните колонку `вердикт` одной буквой и колонку `признак` — фразой.
#   и  истинная находка: дефект настоящий и лежит там, куда показал сканер
#   л  ложное срабатывание: дефекта тут нет
#   д  дубль: адрес в строке не указывает на место дефекта, а сам дефект
#      уже показан в таблице по верному адресу
#   н  не дефект: сообщение информационное, чинить нечего
# Колонка `признак` — по чему это видно в отчёте, в коде стенда или в ответе
# стенда. Одна фраза. Вердикт без признака не засчитывается.
# Отчёт — runs/auth-good.txt. Номера правил — указатель ZAP по адресу
# https://www.zaproxy.org/docs/alerts/
строка,правило,адрес,вердикт,признак
1,40026,"GET /files?name=<script>alert(5397)</script>",,
2,40026,"GET /order?id=<script>alert(5397)</script>",,
3,40026,"GET /profile#jaVasCript:...",,
4,40026,"GET /search?q=ZAP#jaVasCript:...",,
5,40026,"POST /profile?name=abc#<img src=... onerror=...>",,
6,40012,"GET /search?q=</p><scrIpt>alert(1);</scRipt><p>",,
7,6,"GET /files?name=/etc/passwd",,
8,40018,"GET /catalog?cat='",,
9,10202,"GET /account",,
10,10038,"GET /account",,
11,10010,"POST /login",,
12,10054,"POST /login",,
13,10036,"GET /account",,
14,10096,"GET /",,
15,10027,"GET /",,
16,10104,"GET /profile",,
17,10111,"POST /login",,
